time,open,high,low,close
2026-07-29 04:41:00+00:00,63907.68,63911.15,63894.0,63894.0
2026-07-29 04:42:00+00:00,63894.01,63894.01,63884.0,63888.1
2026-07-29 04:43:00+00:00,63888.11,63888.98,63880.0,63886.0
2026-07-29 04:44:00+00:00,63886.01,63886.01,63866.74,63866.74
2026-07-29 04:45:00+00:00,63866.74,63866.75,63846.1,63860.0
2026-07-29 04:46:00+00:00,63860.0,63885.99,63859.99,63873.55
2026-07-29 04:47:00+00:00,63873.54,63909.86,63873.54,63900.0
2026-07-29 04:48:00+00:00,63900.01,63900.01,63892.26,63898.0
2026-07-29 04:49:00+00:00,63898.0,63900.0,63857.58,63857.99
2026-07-29 04:50:00+00:00,63858.0,63892.78,63857.99,63864.0
2026-07-29 04:51:00+00:00,63864.0,63926.83,63857.58,63916.01
2026-07-29 04:52:00+00:00,63916.0,63918.0,63904.01,63904.01
2026-07-29 04:53:00+00:00,63904.0,63923.21,63904.0,63912.01
2026-07-29 04:54:00+00:00,63912.01,63924.66,63905.5,63924.66
2026-07-29 04:55:00+00:00,63924.66,63937.59,63899.2,63924.01
2026-07-29 04:56:00+00:00,63924.01,63936.0,63918.0,63926.43
2026-07-29 04:57:00+00:00,63926.43,63926.43,63910.36,63915.67
2026-07-29 04:58:00+00:00,63915.68,63946.4,63915.67,63946.39
2026-07-29 04:59:00+00:00,63946.39,63970.92,63937.71,63968.34
2026-07-29 05:00:00+00:00,63968.34,63976.01,63963.66,63976.01
2026-07-29 05:01:00+00:00,63976.01,63979.91,63964.0,63979.9
2026-07-29 05:02:00+00:00,63979.9,63979.91,63974.18,63976.74
2026-07-29 05:03:00+00:00,63976.74,64000.0,63976.74,63980.93
2026-07-29 05:04:00+00:00,63980.92,63990.4,63958.0,63960.47
2026-07-29 05:05:00+00:00,63960.47,63960.48,63932.29,63943.99
2026-07-29 05:06:00+00:00,63943.99,63983.04,63943.99,63983.03
2026-07-29 05:07:00+00:00,63983.04,63984.0,63970.0,63983.99
2026-07-29 05:08:00+00:00,63984.0,63995.42,63983.99,63990.0
2026-07-29 05:09:00+00:00,63990.0,63990.01,63974.29,63978.61
2026-07-29 05:10:00+00:00,63978.61,64012.97,63976.32,64012.96
2026-07-29 05:11:00+00:00,64012.96,64020.0,64008.0,64020.0
2026-07-29 05:12:00+00:00,64019.99,64020.0,64000.0,64000.01
2026-07-29 05:13:00+00:00,64000.01,64004.09,63998.29,64004.09
2026-07-29 05:14:00+00:00,64004.09,64004.84,63995.44,63996.29
2026-07-29 05:15:00+00:00,63996.29,63996.29,63950.83,63950.84
2026-07-29 05:16:00+00:00,63950.83,63956.0,63946.0,63946.01
2026-07-29 05:17:00+00:00,63946.0,63946.01,63926.4,63929.26
2026-07-29 05:18:00+00:00,63929.26,63929.26,63926.18,63926.19
2026-07-29 05:19:00+00:00,63926.19,63926.19,63926.18,63926.18
2026-07-29 05:20:00+00:00,63926.19,63930.03,63890.07,63918.0
2026-07-29 05:21:00+00:00,63918.0,63927.4,63896.0,63924.93
2026-07-29 05:22:00+00:00,63924.93,63990.0,63924.93,63990.0
2026-07-29 05:23:00+00:00,63990.0,63997.29,63963.1,63963.1
2026-07-29 05:24:00+00:00,63963.1,63963.11,63915.99,63933.28
2026-07-29 05:25:00+00:00,63933.27,63979.96,63933.27,63952.98
2026-07-29 05:26:00+00:00,63952.98,63960.6,63952.04,63952.05
2026-07-29 05:27:00+00:00,63952.04,63971.71,63952.04,63971.7
2026-07-29 05:28:00+00:00,63971.7,63981.88,63960.0,63960.0
2026-07-29 05:29:00+00:00,63960.01,63960.01,63950.0,63950.01
2026-07-29 05:30:00+00:00,63950.0,63950.01,63919.42,63943.99
2026-07-29 05:31:00+00:00,63944.0,63957.11,63943.99,63952.01
2026-07-29 05:32:00+00:00,63952.01,63984.69,63952.0,63970.73
2026-07-29 05:33:00+00:00,63970.72,63984.93,63970.72,63978.62
2026-07-29 05:34:00+00:00,63978.62,63990.0,63965.01,63990.0
2026-07-29 05:35:00+00:00,63990.0,64030.0,63989.99,64029.85
2026-07-29 05:36:00+00:00,64029.86,64044.0,64013.43,64013.43
2026-07-29 05:37:00+00:00,64013.42,64013.43,63992.0,63992.01
2026-07-29 05:38:00+00:00,63992.0,64029.97,63992.0,64029.96
2026-07-29 05:39:00+00:00,64029.96,64033.17,64026.48,64027.8
2026-07-29 05:40:00+00:00,64027.8,64041.35,64000.43,64041.35
2026-07-29 05:41:00+00:00,64041.35,64045.04,64011.71,64023.11
2026-07-29 05:42:00+00:00,64023.12,64043.63,64023.12,64043.62
2026-07-29 05:43:00+00:00,64043.62,64045.04,64020.73,64020.73
2026-07-29 05:44:00+00:00,64020.74,64020.74,64018.0,64018.0
2026-07-29 05:45:00+00:00,64018.01,64034.0,64006.28,64012.82
2026-07-29 05:46:00+00:00,64012.82,64033.12,64012.81,64024.48
2026-07-29 05:47:00+00:00,64024.48,64044.01,64024.48,64036.0
2026-07-29 05:48:00+00:00,64035.86,64042.82,64022.34,64038.83
2026-07-29 05:49:00+00:00,64038.83,64042.19,64023.45,64034.25
2026-07-29 05:50:00+00:00,64034.24,64044.0,64028.03,64044.0
2026-07-29 05:51:00+00:00,64044.0,64070.0,64043.99,64059.69
2026-07-29 05:52:00+00:00,64059.7,64072.33,64044.07,64072.33
2026-07-29 05:53:00+00:00,64072.33,64079.01,64072.33,64079.0
2026-07-29 05:54:00+00:00,64079.01,64090.91,64079.0,64090.91
2026-07-29 05:55:00+00:00,64090.9,64094.2,64083.68,64083.69
2026-07-29 05:56:00+00:00,64083.68,64083.69,64061.65,64063.13
2026-07-29 05:57:00+00:00,64063.12,64072.54,64063.12,64069.6
2026-07-29 05:58:00+00:00,64069.6,64069.6,64050.05,64057.91
2026-07-29 05:59:00+00:00,64057.91,64069.6,64057.9,64067.32
2026-07-29 06:00:00+00:00,64067.32,64067.32,64026.64,64036.41
2026-07-29 06:01:00+00:00,64036.4,64078.0,64036.4,64076.88
2026-07-29 06:02:00+00:00,64076.88,64099.17,64076.87,64084.79
2026-07-29 06:03:00+00:00,64084.79,64098.0,64083.68,64083.68
2026-07-29 06:04:00+00:00,64083.68,64083.69,64062.19,64070.0
2026-07-29 06:05:00+00:00,64070.01,64083.99,64065.68,64078.0
2026-07-29 06:06:00+00:00,64078.01,64082.0,64075.99,64082.0
2026-07-29 06:07:00+00:00,64082.0,64093.71,64081.99,64088.0
2026-07-29 06:08:00+00:00,64088.01,64088.01,64079.96,64081.7
2026-07-29 06:09:00+00:00,64081.69,64081.7,64043.65,64052.24
2026-07-29 06:10:00+00:00,64052.24,64054.69,64044.19,64054.69
2026-07-29 06:11:00+00:00,64054.68,64083.7,64054.68,64078.0
2026-07-29 06:12:00+00:00,64078.0,64088.5,64078.0,64083.69
2026-07-29 06:13:00+00:00,64083.68,64100.0,64083.68,64099.99
2026-07-29 06:14:00+00:00,64100.0,64148.69,64099.99,64123.7
2026-07-29 06:15:00+00:00,64123.7,64123.7,64100.0,64100.01
2026-07-29 06:16:00+00:00,64100.0,64110.0,64096.01,64109.99
2026-07-29 06:17:00+00:00,64110.0,64129.25,64109.99,64129.24
2026-07-29 06:18:00+00:00,64129.25,64136.04,64112.19,64136.03
2026-07-29 06:19:00+00:00,64136.03,64137.1,64124.07,64128.11
2026-07-29 06:20:00+00:00,64128.1,64137.76,64124.08,64137.76
2026-07-29 06:21:00+00:00,64137.75,64165.13,64137.75,64140.0
2026-07-29 06:22:00+00:00,64140.0,64151.97,64132.9,64151.96
2026-07-29 06:23:00+00:00,64151.96,64173.0,64151.96,64171.99
2026-07-29 06:24:00+00:00,64172.0,64197.48,64171.99,64194.91
2026-07-29 06:25:00+00:00,64194.91,64264.76,64194.88,64264.37
2026-07-29 06:26:00+00:00,64264.36,64296.0,64254.0,64254.0
2026-07-29 06:27:00+00:00,64254.0,64347.0,64254.0,64341.55
2026-07-29 06:28:00+00:00,64341.56,64393.29,64309.02,64384.01
2026-07-29 06:29:00+00:00,64384.0,64409.97,64380.0,64403.0
2026-07-29 06:30:00+00:00,64403.0,64436.0,64386.01,64402.52
2026-07-29 06:31:00+00:00,64402.52,64439.82,64389.88,64389.88
2026-07-29 06:32:00+00:00,64389.89,64471.0,64388.74,64446.0
2026-07-29 06:33:00+00:00,64446.0,64463.37,64410.0,64420.01
2026-07-29 06:34:00+00:00,64420.01,64426.0,64404.0,64425.72
2026-07-29 06:35:00+00:00,64425.72,64455.63,64422.15,64453.18
2026-07-29 06:36:00+00:00,64453.19,64453.19,64434.0,64441.5
2026-07-29 06:37:00+00:00,64441.5,64448.11,64436.0,64448.11
2026-07-29 06:38:00+00:00,64448.1,64450.0,64410.0,64412.7
2026-07-29 06:39:00+00:00,64412.7,64428.0,64412.69,64428.0
2026-07-29 06:40:00+00:00,64428.0,64437.42,64427.99,64437.42
2026-07-29 06:41:00+00:00,64437.42,64457.95,64437.41,64440.01
2026-07-29 06:42:00+00:00,64440.0,64440.01,64431.09,64432.24
2026-07-29 06:43:00+00:00,64432.24,64432.25,64432.24,64432.24
2026-07-29 06:44:00+00:00,64432.25,64463.0,64432.24,64462.99
2026-07-29 06:45:00+00:00,64463.0,64463.0,64415.55,64415.55
2026-07-29 06:46:00+00:00,64415.56,64425.27,64411.46,64411.46
2026-07-29 06:47:00+00:00,64411.47,64441.13,64411.46,64441.12
2026-07-29 06:48:00+00:00,64441.13,64451.89,64411.56,64411.56
2026-07-29 06:49:00+00:00,64411.55,64413.04,64400.0,64410.0
2026-07-29 06:50:00+00:00,64409.99,64440.0,64409.99,64436.0
2026-07-29 06:51:00+00:00,64436.0,64438.34,64416.04,64422.01
2026-07-29 06:52:00+00:00,64422.01,64435.96,64420.44,64435.95
2026-07-29 06:53:00+00:00,64435.95,64453.47,64428.22,64428.22
2026-07-29 06:54:00+00:00,64428.22,64432.0,64410.76,64421.1
2026-07-29 06:55:00+00:00,64421.09,64421.09,64414.8,64419.99
2026-07-29 06:56:00+00:00,64420.0,64424.0,64416.0,64423.99
2026-07-29 06:57:00+00:00,64423.99,64424.0,64413.55,64423.99
2026-07-29 06:58:00+00:00,64424.0,64435.63,64423.99,64435.62
2026-07-29 06:59:00+00:00,64435.62,64435.63,64435.62,64435.62
2026-07-29 07:00:00+00:00,64435.63,64444.0,64435.62,64435.63
2026-07-29 07:01:00+00:00,64435.62,64435.63,64408.02,64412.85
2026-07-29 07:02:00+00:00,64412.85,64418.0,64410.93,64417.99
2026-07-29 07:03:00+00:00,64417.99,64418.0,64402.67,64410.26
2026-07-29 07:04:00+00:00,64410.25,64425.85,64410.25,64425.85
2026-07-29 07:05:00+00:00,64425.85,64425.85,64425.84,64425.84
2026-07-29 07:06:00+00:00,64425.84,64438.51,64425.84,64438.51
2026-07-29 07:07:00+00:00,64438.5,64483.43,64438.5,64456.13
2026-07-29 07:08:00+00:00,64456.13,64468.01,64456.0,64459.71
2026-07-29 07:09:00+00:00,64459.72,64459.72,64459.71,64459.71
2026-07-29 07:10:00+00:00,64459.71,64465.47,64459.71,64465.47
2026-07-29 07:11:00+00:00,64465.47,64470.0,64456.0,64456.01
2026-07-29 07:12:00+00:00,64456.01,64483.94,64456.0,64483.93
2026-07-29 07:13:00+00:00,64483.93,64494.92,64462.94,64462.95
2026-07-29 07:14:00+00:00,64462.94,64468.69,64462.94,64466.0
2026-07-29 07:15:00+00:00,64466.01,64466.01,64460.0,64462.57
2026-07-29 07:16:00+00:00,64462.57,64468.68,64450.22,64458.43
2026-07-29 07:17:00+00:00,64458.43,64458.43,64447.76,64454.66
2026-07-29 07:18:00+00:00,64454.67,64459.99,64433.22,64433.23
2026-07-29 07:19:00+00:00,64433.23,64488.79,64433.23,64488.78
2026-07-29 07:20:00+00:00,64488.78,64503.0,64488.78,64503.0
2026-07-29 07:21:00+00:00,64502.99,64508.0,64452.56,64452.57
2026-07-29 07:22:00+00:00,64452.56,64452.57,64432.17,64434.01
2026-07-29 07:23:00+00:00,64434.01,64471.61,64434.0,64471.61
2026-07-29 07:24:00+00:00,64471.6,64471.61,64441.12,64441.13
2026-07-29 07:25:00+00:00,64441.12,64451.9,64441.12,64447.16
2026-07-29 07:26:00+00:00,64447.16,64462.56,64447.16,64462.56
2026-07-29 07:27:00+00:00,64462.56,64488.0,64462.55,64476.54
2026-07-29 07:28:00+00:00,64476.55,64508.0,64476.54,64508.0
2026-07-29 07:29:00+00:00,64508.0,64508.0,64507.98,64507.98
2026-07-29 07:30:00+00:00,64507.98,64518.0,64489.91,64489.91
2026-07-29 07:31:00+00:00,64489.91,64489.91,64470.02,64479.69
2026-07-29 07:32:00+00:00,64479.68,64483.07,64478.47,64483.06
2026-07-29 07:33:00+00:00,64483.07,64483.07,64454.0,64454.0
2026-07-29 07:34:00+00:00,64454.0,64454.01,64443.27,64443.27
2026-07-29 07:35:00+00:00,64443.27,64452.09,64441.31,64441.31
2026-07-29 07:36:00+00:00,64441.31,64442.07,64441.31,64442.07
2026-07-29 07:37:00+00:00,64442.07,64458.01,64442.06,64450.58
2026-07-29 07:38:00+00:00,64450.58,64450.59,64450.58,64450.58
2026-07-29 07:39:00+00:00,64450.58,64458.53,64450.58,64458.52
2026-07-29 07:40:00+00:00,64458.52,64478.12,64458.52,64471.31
2026-07-29 07:41:00+00:00,64471.31,64471.32,64471.31,64471.32
2026-07-29 07:42:00+00:00,64471.31,64478.12,64470.0,64476.53
2026-07-29 07:43:00+00:00,64476.53,64490.76,64476.52,64490.75
2026-07-29 07:44:00+00:00,64490.76,64498.0,64486.85,64498.0
2026-07-29 07:45:00+00:00,64497.99,64498.0,64474.83,64474.83
2026-07-29 07:46:00+00:00,64474.83,64496.0,64474.83,64495.99
2026-07-29 07:47:00+00:00,64495.99,64505.17,64495.99,64498.8
2026-07-29 07:48:00+00:00,64498.8,64498.81,64498.79,64498.79
2026-07-29 07:49:00+00:00,64498.8,64516.0,64498.79,64515.99
2026-07-29 07:50:00+00:00,64515.99,64517.41,64513.1,64513.1
2026-07-29 07:51:00+00:00,64513.1,64513.11,64494.45,64494.46
2026-07-29 07:52:00+00:00,64494.45,64494.46,64482.0,64487.16
2026-07-29 07:53:00+00:00,64487.16,64489.75,64482.0,64482.0
2026-07-29 07:54:00+00:00,64482.0,64482.01,64460.02,64460.02
2026-07-29 07:55:00+00:00,64460.01,64485.0,64460.01,64485.0
2026-07-29 07:56:00+00:00,64484.99,64493.88,64484.99,64493.42
2026-07-29 07:57:00+00:00,64493.42,64507.27,64485.58,64506.0
2026-07-29 07:58:00+00:00,64505.99,64550.0,64505.99,64549.99
2026-07-29 07:59:00+00:00,64549.99,64575.99,64549.99,64561.0
2026-07-29 08:00:00+00:00,64561.01,64588.0,64551.5,64551.5
2026-07-29 08:01:00+00:00,64551.51,64557.74,64518.34,64518.35
2026-07-29 08:02:00+00:00,64518.35,64554.61,64518.34,64524.0
2026-07-29 08:03:00+00:00,64524.01,64528.1,64521.2,64521.21
2026-07-29 08:04:00+00:00,64521.2,64535.61,64521.2,64522.38
2026-07-29 08:05:00+00:00,64522.37,64522.38,64498.0,64499.13
2026-07-29 08:06:00+00:00,64499.14,64507.59,64484.99,64484.99
2026-07-29 08:07:00+00:00,64484.99,64485.0,64473.34,64476.01
2026-07-29 08:08:00+00:00,64476.01,64482.0,64470.0,64470.01
2026-07-29 08:09:00+00:00,64470.0,64470.01,64432.0,64433.45
2026-07-29 08:10:00+00:00,64433.44,64433.45,64412.53,64413.7
2026-07-29 08:11:00+00:00,64413.69,64413.7,64380.68,64380.69
2026-07-29 08:12:00+00:00,64380.68,64385.85,64366.02,64366.02
2026-07-29 08:13:00+00:00,64366.02,64396.71,64359.35,64396.7
2026-07-29 08:14:00+00:00,64396.7,64396.71,64376.0,64376.0
2026-07-29 08:15:00+00:00,64376.0,64376.01,64370.0,64370.01
2026-07-29 08:16:00+00:00,64370.0,64380.0,64364.0,64380.0
2026-07-29 08:17:00+00:00,64379.99,64380.0,64379.99,64380.0
2026-07-29 08:18:00+00:00,64380.0,64394.23,64379.99,64394.23
2026-07-29 08:19:00+00:00,64394.22,64395.59,64380.0,64395.58
2026-07-29 08:20:00+00:00,64395.58,64395.59,64395.58,64395.58
2026-07-29 08:21:00+00:00,64395.59,64403.71,64390.64,64400.21
2026-07-29 08:22:00+00:00,64400.22,64400.22,64380.0,64380.01
2026-07-29 08:23:00+00:00,64380.01,64380.01,64334.99,64334.99
2026-07-29 08:24:00+00:00,64334.98,64342.0,64334.98,64342.0
2026-07-29 08:25:00+00:00,64342.0,64342.0,64300.0,64309.99
2026-07-29 08:26:00+00:00,64309.99,64311.21,64302.0,64308.43
2026-07-29 08:27:00+00:00,64308.42,64314.58,64300.0,64314.57
2026-07-29 08:28:00+00:00,64314.57,64314.66,64283.83,64297.63
2026-07-29 08:29:00+00:00,64297.63,64305.95,64297.63,64301.99
2026-07-29 08:30:00+00:00,64301.99,64321.62,64284.03,64321.61
2026-07-29 08:31:00+00:00,64321.61,64339.97,64321.61,64335.89
2026-07-29 08:32:00+00:00,64335.9,64344.0,64330.48,64342.58
2026-07-29 08:33:00+00:00,64342.58,64342.59,64323.92,64323.92
2026-07-29 08:34:00+00:00,64323.93,64323.93,64306.66,64306.66
2026-07-29 08:35:00+00:00,64306.67,64316.0,64306.08,64315.99
2026-07-29 08:36:00+00:00,64315.99,64317.66,64315.99,64317.66
2026-07-29 08:37:00+00:00,64317.66,64334.56,64317.66,64329.41
2026-07-29 08:38:00+00:00,64329.42,64329.42,64326.82,64329.42
2026-07-29 08:39:00+00:00,64329.42,64329.42,64321.21,64321.22
2026-07-29 08:40:00+00:00,64321.21,64329.91,64321.21,64329.9
2026-07-29 08:41:00+00:00,64329.91,64329.91,64329.9,64329.91
2026-07-29 08:42:00+00:00,64329.91,64358.0,64329.9,64358.0
2026-07-29 08:43:00+00:00,64357.99,64400.0,64357.99,64399.99
2026-07-29 08:44:00+00:00,64400.0,64433.88,64399.99,64433.87
2026-07-29 08:45:00+00:00,64433.88,64500.0,64433.87,64500.0
2026-07-29 08:46:00+00:00,64500.0,64523.68,64499.99,64523.66
2026-07-29 08:47:00+00:00,64523.66,64523.66,64503.95,64515.9
2026-07-29 08:48:00+00:00,64515.9,64515.9,64454.41,64454.41
2026-07-29 08:49:00+00:00,64454.41,64455.48,64454.41,64455.47
2026-07-29 08:50:00+00:00,64455.47,64461.43,64452.23,64455.48
2026-07-29 08:51:00+00:00,64455.48,64455.48,64412.0,64412.0
2026-07-29 08:52:00+00:00,64412.0,64417.63,64412.0,64412.13
2026-07-29 08:53:00+00:00,64412.12,64417.29,64412.12,64415.36
2026-07-29 08:54:00+00:00,64415.37,64415.37,64398.88,64398.88
2026-07-29 08:55:00+00:00,64398.89,64406.92,64398.88,64405.98
2026-07-29 08:56:00+00:00,64405.98,64405.99,64402.0,64402.01
2026-07-29 08:57:00+00:00,64402.0,64415.25,64400.0,64415.25
2026-07-29 08:58:00+00:00,64415.25,64419.99,64415.25,64416.54
2026-07-29 08:59:00+00:00,64416.54,64417.31,64416.34,64417.31
2026-07-29 09:00:00+00:00,64417.31,64417.31,64417.3,64417.3
2026-07-29 09:01:00+00:00,64417.31,64444.0,64417.3,64444.0
2026-07-29 09:02:00+00:00,64444.0,64444.5,64443.99,64444.5
2026-07-29 09:03:00+00:00,64444.49,64444.5,64421.17,64444.0
2026-07-29 09:04:00+00:00,64444.0,64451.84,64427.1,64427.11
2026-07-29 09:05:00+00:00,64427.1,64427.11,64394.27,64394.27
2026-07-29 09:06:00+00:00,64394.27,64400.44,64394.27,64400.43
2026-07-29 09:07:00+00:00,64400.43,64400.44,64386.94,64399.56
2026-07-29 09:08:00+00:00,64399.55,64403.03,64394.89,64397.77
2026-07-29 09:09:00+00:00,64397.78,64432.21,64397.78,64432.21
2026-07-29 09:10:00+00:00,64432.21,64454.0,64432.2,64453.99
2026-07-29 09:11:00+00:00,64454.0,64454.0,64446.1,64446.11
2026-07-29 09:12:00+00:00,64446.1,64462.4,64446.1,64459.99
2026-07-29 09:13:00+00:00,64460.0,64464.0,64443.03,64443.04
2026-07-29 09:14:00+00:00,64443.03,64452.0,64443.03,64452.0
2026-07-29 09:15:00+00:00,64452.0,64452.0,64445.62,64445.63
2026-07-29 09:16:00+00:00,64445.63,64445.63,64430.0,64430.01
2026-07-29 09:17:00+00:00,64430.01,64432.86,64430.0,64432.86
2026-07-29 09:18:00+00:00,64432.85,64474.04,64432.85,64474.03
2026-07-29 09:19:00+00:00,64474.04,64474.04,64462.07,64462.07
2026-07-29 09:20:00+00:00,64462.07,64470.97,64462.07,64470.01
2026-07-29 09:21:00+00:00,64470.0,64470.01,64452.32,64452.33
2026-07-29 09:22:00+00:00,64452.32,64452.33,64451.05,64451.06
2026-07-29 09:23:00+00:00,64451.06,64466.71,64438.0,64438.01
2026-07-29 09:24:00+00:00,64438.0,64466.3,64438.0,64466.3
2026-07-29 09:25:00+00:00,64466.3,64478.6,64466.29,64478.59
2026-07-29 09:26:00+00:00,64478.59,64478.6,64456.0,64456.01
2026-07-29 09:27:00+00:00,64456.0,64456.01,64446.0,64453.73
2026-07-29 09:28:00+00:00,64453.74,64461.74,64444.0,64447.84
2026-07-29 09:29:00+00:00,64447.85,64461.82,64447.85,64461.82
2026-07-29 09:30:00+00:00,64461.81,64477.09,64461.81,64470.07
2026-07-29 09:31:00+00:00,64470.07,64503.96,64470.06,64503.95
2026-07-29 09:32:00+00:00,64503.95,64509.0,64499.52,64503.96
2026-07-29 09:33:00+00:00,64503.96,64503.96,64478.0,64482.0
2026-07-29 09:34:00+00:00,64482.01,64492.26,64482.0,64482.03
2026-07-29 09:35:00+00:00,64482.03,64482.04,64470.0,64470.0
2026-07-29 09:36:00+00:00,64470.01,64493.48,64470.0,64483.26
2026-07-29 09:37:00+00:00,64483.25,64535.22,64480.76,64524.25
2026-07-29 09:38:00+00:00,64524.26,64572.14,64520.45,64572.13
2026-07-29 09:39:00+00:00,64572.13,64620.0,64548.42,64592.0
2026-07-29 09:40:00+00:00,64591.99,64700.0,64591.99,64671.33
2026-07-29 09:41:00+00:00,64671.33,64674.0,64640.0,64646.87
